slug,title,subtitle,description,dates,dateStart,dateEnd,time,location,municipality,address,category,isFree,price,featured,tags,organizer,phone,email,website,image,lat,lng
batalla-de-flores-2026,Batalla de Flores 2026,El desfile más grande del Carnaval de Barranquilla,"Desfile principal del Carnaval donde carrozas monumentales, grupos folclóricos, comparsas y disfraces llenan la Vía 40 de color y alegría. Más de 100.000 espectadores disfrutan de este espectáculo único.",14 Feb,2026-02-14,,12:00 PM,Vía 40 (Cumbiódromo),Barranquilla,Vía 40 entre calles 80 y 58,carnaval,false,Palcos desde $150.000,true,"carnaval,desfile,carrozas,flores,tradición",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FBatalla%20de%20Flores%202026.jpeg?alt=media&token=798a59ef-83d3-43f3-ac73-924d364060ef,11.0078,-74.8056
baila-la-calle-sabado-2026,Baila la Calle - Noche de Orquestas Sábado,Segunda noche de la verbena más grande,Segunda noche de Baila la Calle con las mejores orquestas del Caribe. Continúa la fiesta en la pista de baile más grande del mundo.,14 Feb,2026-02-14,,7:00 PM,Vía Carrera 50 con Calle Murillo,Barranquilla,Carrera 50 con Calle Murillo,carnaval,false,Desde $50.000,false,"carnaval,baile,orquestas,verbena",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://tuboleta.com,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FBaila%20la%20Calle%20-%20Noche%20de%20Orquestas%20Sa%CC%81bado.jpeg?alt=media&token=adc073ea-f75d-4234-aabd-19bf86b947ac,10.9878,-74.7889
gran-parada-tradicion-2026,Gran Parada de Tradición,Homenaje a la música folclórica en vivo,"Desfile dominical que rinde homenaje a la música folclórica en vivo. Las danzas tradicionales, cumbiambas, congos y grupos folclóricos muestran la esencia más pura del Carnaval. Celebra 150 años del Congo Grande de Barranquilla.",15 Feb,2026-02-15,,12:00 PM,Vía 40 (Cumbiódromo),Barranquilla,Vía 40 entre calles 80 y 58,carnaval,false,Palcos desde $120.000,true,"carnaval,desfile,tradición,folclor,danzas",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FGran%20Parada%20de%20Comparsas.jpeg?alt=media&token=f5d4d39d-6ff0-4556-912c-44656daa2161,11.0078,-74.8056
festival-orquestas-2026,Festival de Orquestas,La noche musical más esperada del Carnaval,Competencia entre las mejores orquestas de música tropical por el Congo de Oro. Tercera y última noche de Baila la Calle.,15 Feb,2026-02-15,,7:00 PM,Vía Carrera 50 con Calle Murillo,Barranquilla,Carrera 50 con Calle Murillo,carnaval,false,Desde $60.000,true,"carnaval,orquestas,congo de oro,competencia,música",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://tuboleta.com,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFestival%20de%20Orquestas.jpg?alt=media&token=19b901a4-ff73-4ac1-8bd6-6f8e88c4ff17,10.9878,-74.7889
desfile-rey-momo-2026,Desfile del Rey Momo,El Rey de la fiesta desfila por las calles,"El Rey Momo Adolfo Maury, director del Congo Grande de Barranquilla en su aniversario 150, preside este colorido desfile por las calles del centro.",16 Feb,2026-02-16,,2:00 PM,Calle 17,Barranquilla,"Calle 17, Centro de Barranquilla",carnaval,true,,false,"carnaval,rey momo,desfile,centro",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2Fdesfile-rey-momo-2026.jpeg?alt=media&token=120c2c9d-266a-4e06-b41d-8e8d4eff9e01,10.9632,-74.7978
gran-parada-comparsas-2026,Gran Parada de Comparsas,Creatividad y fantasía en movimiento,"Desfile de lunes donde las comparsas despliegan su creatividad, coreografías y vestuarios. Este año dedicado a la música de los picós.",16 Feb,2026-02-16,,12:00 PM,Vía 40 (Cumbiódromo),Barranquilla,Vía 40 entre calles 80 y 58,carnaval,false,Palcos desde $120.000,true,"carnaval,comparsas,desfile,creatividad,picós",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FGran%20Parada%20de%20Tradicio%CC%81n.jpg?alt=media&token=7831192c-6b4a-4da4-b347-45551cd913a8,11.0078,-74.8056
eleccion-reina-popular-2026,Elección y Coronación Reina Popular 2026,La representante del pueblo,Celebración alrededor de la figura representativa del pueblo en el Carnaval de Barranquilla.,16 Feb,2026-02-16,,7:00 PM,Plaza de la Paz,Barranquilla,"Plaza de la Paz, Barranquilla",carnaval,true,,false,"carnaval,reina popular,coronación",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FEleccio%CC%81n%20y%20Coronacio%CC%81n%20Reina%20Popular%202026.jpg?alt=media&token=dec69204-e7b6-456c-922c-ab46ebb9192a,10.9922,-74.7978
encuentro-comedias-martes-2026,Encuentro de Comedias - Martes,Humor tradicional cierre del Carnaval,Las comedias tradicionales llenan el parque de risas en el último día del Carnaval.,17 Feb,2026-02-17,,5:00 PM,Parque Almendra,Barranquilla,"Parque Almendra, Barranquilla",carnaval,true,,false,"carnaval,comedias,humor,tradición",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FEncuentro%20de%20Comedias%20-%20Martes.jpg?alt=media&token=e80a4344-d799-4d60-b3d4-c3004de86b58,10.9878,-74.7889
desfile-joselito-carnaval-2026,Desfile de Joselito Carnaval,El entierro de Joselito - Fin del Carnaval,"Cierre simbólico del Carnaval con la despedida teatral y musical de Joselito, marcando el final de los festejos antes de la Cuaresma.",17 Feb,2026-02-17,,3:00 PM,Carrera 54 hasta Barrio Abajo,Barranquilla,Carrera 54 hasta Barrio Abajo,carnaval,true,,true,"carnaval,joselito,entierro,cierre,tradición",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FDesfile%20de%20Joselito%20Carnaval.jpg?alt=media&token=fdd9850d-902a-44f1-9bbd-7065363917c4,10.9945,-74.8011
herederos-tradicion-44-2026,Herederos de la Tradición - Carnaval de la 44,Desfile infantil en Alameda del Río,"Desfile infantil que se institucionaliza en 2026 y recorre Alameda del Río, un vecindario con más de cien mil habitantes. Evento que fortalece el Carnaval de la 44.",25 Ene,2026-01-25,,10:00 AM,Alameda del Río,Barranquilla,"Alameda del Río, Barranquilla",carnaval,true,,false,"carnaval,niños,desfile,carnaval 44",Carnaval de la 44,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FHerederos%20de%20la%20Tradicio%CC%81n%20-%20Carnaval%20de%20la%2044.jpeg?alt=media&token=780558f4-a55a-491c-89ac-a2a5831025c2,10.9878,-74.7889
festival-ciruela-campeche-2026,Festival de la Ciruela de Campeche,El oro verde del Atlántico - XXXVII Edición,"Festival tradicional desde 1988 que celebra la ciruela, base económica del 20% de los habitantes de Baranoa. 45 matronas ofrecen dulces, jaleas, vinos, pudines y más derivados de la ciruela. Incluye XXVII Reinado Intermunicipal.",21-23 Mar,2026-03-21,2026-03-23,9:00 AM,Plaza de la Ciruela,Baranoa,"Corregimiento de Campeche, Baranoa",gastronomia,true,,true,"gastronomía,ciruela,matronas,festival,sazón atlántico",Fundación Cultural Festival de la Ciruela / Alcaldía de Baranoa,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFestival%20de%20la%20Ciruela%20de%20Campeche.jpeg?alt=media&token=aad56009-b47d-4745-b5f9-802e461d6d4b,10.7833,-74.9167
festival-mango-pendales-2026,Festival del Mango de Los Pendales,XXVII Edición - Sabor tropical de Luruaco,"Festival de 50 familias productoras de mango. Se cosechan más de 1.000 toneladas anuales para distribución nacional y exportación a Europa. Ofrecen tortas, arequipes, cocadas, mermeladas y productos derivados.",13-15 Jun,2026-06-13,2026-06-15,10:00 AM,Plaza Principal Los Pendales,Luruaco,"Corregimiento Los Pendales, Luruaco",gastronomia,true,,false,"gastronomía,mango,matronas,festival,sazón atlántico,campo",Alcaldía de Luruaco / Gobernación del Atlántico,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFestival%20del%20Mango%20de%20Los%20Pendales.jpg?alt=media&token=a3137fa2-0e90-4c8a-8476-f4b289da3f75,10.6167,-75.15
festival-butifarra-soledad-2026,Festival de la Butifarra,XXI Edición - El embutido emblema del Atlántico,"Más de 30 productores de butifarra participan en este festival que celebra el embutido más famoso de la región. Ofrecen innovaciones como arroces, empanadas y hamburguesas de butifarra.",13-14 Jun,2026-06-13,2026-06-14,2:00 PM,Plaza Mayor de Soledad,Soledad,"Plaza Mayor, Soledad",gastronomia,true,,false,"gastronomía,butifarra,festival,sazón atlántico,tradición",Alcaldía de Soledad,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFestival%20de%20la%20Butifarra.jpeg?alt=media&token=bb1ebb55-e06d-4268-82d4-9975dd0eba7f,10.9178,-74.7644
festival-mojarra-aguada-pablo-2026,Festival de la Mojarra Lora,XXV Edición - Sabores del río,"Festival gastronómico que celebra la mojarra lora con amplia variedad de platos, concursos de pesca y presentaciones musicales. Tradición de la cocina ribereña atlanticense.",27-29 Jun,2026-06-27,2026-06-29,10:00 AM,Plaza Pública de Aguada de Pablo,Sabanalarga,"Corregimiento Aguada de Pablo, Sabanalarga",gastronomia,true,,false,"gastronomía,mojarra,pescado,festival,sazón atlántico",Gobernación del Atlántico,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFestival%20de%20la%20Mojarra%20Lora.jpeg?alt=media&token=3d6d71ec-955f-434d-aaf0-f1f91751c6c7,10.6333,-74.9167
festival-arepa-huevo-luruaco-2026,Festival de la Arepa de Huevo,XXXVII Edición - La cuna de la arepa de huevo,"El festival más emblemático de la gastronomía atlanticense. 70 matronas ofrecen arepas tradicionales e innovadoras con rellenos de carne, conejo, pato, camarones, chicharrón y más. Espera vender más de 32.000 arepas.",27-29 Jun,2026-06-27,2026-06-29,7:00 AM,Plaza Municipal de Luruaco,Luruaco,"Plaza Principal, Luruaco",gastronomia,true,,true,"gastronomía,arepa de huevo,matronas,festival,patrimonio,ruta 23",ASOPRAL / Alcaldía de Luruaco / Gobernación del Atlántico,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFestival%20de%20la%20Arepa%20de%20Huevo.jpeg?alt=media&token=2b90421a-2cc4-423f-8f3f-107f32568bfe,10.6167,-75.15
festival-pastel-pital-megua-2026,Festival del Pastel de Pital de Megua,XXXIV Edición - Tradición envuelta en bijao,"Festival que reúne a 65 matronas del pastel. Se esperan ventas de más de 25.000 pasteles con rellenos de pollo, pavo, gallina, cerdo, conejo y mixto. Patrimonio gastronómico del Atlántico.",27-30 Jun,2026-06-27,2026-06-30,7:00 AM,Plaza Principal Pital de Megua,Baranoa,"Corregimiento Pital de Megua, Baranoa",gastronomia,true,,true,"gastronomía,pastel,matronas,festival,bijao,ruta 23",Asociación de Mujeres Hacedoras del Pastel / Alcaldía de Baranoa,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFestival%20del%20Pastel%20de%20Pital%20de%20Megua.jpeg?alt=media&token=89cd84b6-9e0c-454f-8e32-4aaf27311bbe,10.7944,-74.9239
festival-nispero-polonuevo-2026,Festival del Níspero de Polonuevo,Frutas autóctonas del Atlántico,"Festival que celebra el níspero con productos como galletas, mermeladas y chimichurri. 70 familias productoras participan de esta tradición culinaria.",18-19 Jul,2026-07-18,2026-07-19,10:00 AM,Plaza Principal,Polonuevo,"Plaza Principal, Polonuevo",gastronomia,true,,false,"gastronomía,níspero,frutas,festival,sazón atlántico",Alcaldía de Polonuevo / Gobernación del Atlántico,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFestival%20del%20Ni%CC%81spero%20de%20Polonuevo.jpeg?alt=media&token=940d5f3d-4e44-4696-9843-bfcfbd531d29,10.7667,-74.85
sabor-barranquilla-2026,Sabor Barranquilla 2026,XIX Edición - La feria gastronómica más grande del Caribe,"La feria gastronómica más importante del Caribe colombiano. Más de 40 chefs locales e internacionales, 180+ expositores, 60 restaurantes. Foro académico sobre turismo gastronómico. Espera más de 27.000 visitantes.",20-23 Ago,2026-08-20,2026-08-23,11:00 AM,Puerta de Oro - Centro de Eventos del Caribe,Barranquilla,Vía 40 #79B-06,gastronomia,false,Desde $25.000,true,"gastronomía,feria,chefs,restaurantes,caribe",Cruz Roja Colombiana / Corferias Caribe / Fenalco Atlántico,,,https://saborbarranquilla.com,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2Fsabor-barranquilla-2026.jpeg?alt=media&token=56a67943-efec-493b-8747-6bcc73bbfcae,11.0089,-74.8078
fiestas-san-jose-luruaco-2026,Fiestas Patronales de San José - Luruaco,Fe y tradición en Luruaco,"Fiestas en honor a San José, patrono de Luruaco. Procesiones, corralejas y presentaciones de grupos musicales.",19 Mar,2026-03-19,,Todo el día,Plaza Principal,Luruaco,Centro de Luruaco,religioso,true,,false,"religioso,san josé,patronales,corralejas",Parroquia de Luruaco,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFiestas%20Patronales%20de%20San%20Jose%CC%81%20-%20Luruaco.jpg?alt=media&token=8e3ddc99-f633-40f1-b4b5-3471dbf9bcec,10.6167,-75.15
fiestas-san-jose-campo-cruz-2026,Fiestas Patronales de San José - Campo de la Cruz,Corralejas y tradición,"Fiestas en honor a San José con novenas desde el 10 de marzo, cantos religiosos, misas, quema de castillos de fuegos artificiales y tradicionales corralejas.",10-19 Mar,2026-03-10,2026-03-19,Todo el día,Plaza Principal,Campo de la Cruz,Centro de Campo de la Cruz,religioso,true,,false,"religioso,san josé,patronales,corralejas",Parroquia de Campo de la Cruz,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFiestas%20Patronales%20de%20San%20Jose%CC%81%20-%20Campo%20de%20la%20Cruz.jpg?alt=media&token=32513e13-6cda-4e4b-ae86-c2df155e2316,10.3833,-74.8833
fiestas-virgen-carmen-puerto-colombia-2026,Fiestas de la Virgen del Carmen,Patrona de Puerto Colombia,"Fiestas patronales en honor a la Virgen del Carmen, patrona de los navegantes y del municipio. Procesión marítima, exposiciones artísticas, feria Estacionarte y eventos culturales.",15-16 Jul,2026-07-15,2026-07-16,4:00 PM,Plaza Principal y Muelle,Puerto Colombia,Centro de Puerto Colombia,religioso,true,,true,"religioso,virgen del carmen,procesión marítima,patronales",Alcaldía de Puerto Colombia / Santuario Mariano,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFiestas%20de%20la%20Virgen%20del%20Carmen.jpg?alt=media&token=f7a16ac2-0a84-405c-8777-ac3882148c9f,11.0008,-74.955
fiestas-santa-ana-baranoa-2026,Fiestas Patronales de Santa Ana,Tradición religiosa de Baranoa,"Fiestas en honor a Santa Ana con novenas en diferentes barrios, procesiones llevando la imagen de la Virgen desde la Parroquia.",17-26 Jul,2026-07-17,2026-07-26,Varios horarios,Parroquia Santa Ana,Baranoa,Centro de Baranoa,religioso,true,,false,"religioso,santa ana,patronales,novenas",Parroquia Santa Ana,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFiestas%20Patronales%20de%20Santa%20Ana.jpeg?alt=media&token=02053252-3f94-485a-8ba5-3f66fdc524f8,10.7944,-74.9239
sirenato-cumbia-puerto-colombia-2026,Sirenato de la Cumbia,Las polleras se encuentran en el mar,Uno de los eventos más representativos del Atlántico desde 1996. Reinado donde las reinas de otros municipios celebran la tradición del tambor y la flauta de millo. Las polleras se mueven al ritmo de las olas.,Feb 2026,2026-02-14,2026-02-15,7:00 PM,Malecón de Puerto Colombia,Puerto Colombia,"Malecón, Puerto Colombia",cultural,true,,true,"cultural,cumbia,reinado,tradición,carnaval",Alcaldía de Puerto Colombia,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FSirenato%20de%20la%20Cumbia.jpeg?alt=media&token=9fa25e9b-14ab-4289-90e8-938a1f4bb7a3,11.0008,-74.955
expo-usiacuri-2026,ExpoUsiacurí - Feria Artesanal,Artesanías en palma de iraca,Feria artesanal que exhibe las famosas artesanías en palma de iraca elaboradas por los artesanos del Pesebre del Atlántico. Centro de Desarrollo Artesanal.,14-16 Ago,2026-08-14,2026-08-16,10:00 AM,Centro de Desarrollo Artesanal,Usiacurí,"Centro de Desarrollo Artesanal, Usiacurí",cultural,true,,false,"artesanías,palma de iraca,feria,turismo",Alcaldía de Usiacurí,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FExpoUsiacuri%CC%81%20-%20Feria%20Artesanal.jpeg?alt=media&token=b2600845-3e37-49a6-aff5-e2106f7dc9f5,10.75,-74.9833
festival-coros-un-mar-de-voces-2026,Festival Internacional de Coros - Un Mar de Voces,Voces del mundo en el Caribe,"Festival internacional que reúne grupos corales de diferentes países. Incluye actividades académicas en instituciones educativas. Se realiza en Salgar, Barranquilla y Puerto Colombia.",Jul 2026,2026-07-10,2026-07-12,6:00 PM,Salgar y Puerto Colombia,Puerto Colombia,Corregimiento Salgar y Puerto Colombia,musica,true,,false,"música,coros,internacional,cultura",Alcaldía de Puerto Colombia,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFestival%20Internacional%20de%20Coros%20-%20Un%20Mar%20de%20Voces.jpeg?alt=media&token=da48de3c-afc2-456d-a19b-97e0fd36f20c,11.0008,-74.955
festival-tunas-corazonistas-2026,Festival Internacional de las Tunas Corazonistas,XII Edición - Intercambio cultural,"Festival nacido hace más de 11 años del intercambio cultural con países como México, Perú y Ecuador. Celebra la tradición de las tunas.",Oct 2026,2026-10-15,2026-10-17,7:00 PM,Puerto Colombia,Puerto Colombia,Puerto Colombia,musica,true,,false,"música,tunas,internacional,intercambio",Organizadores locales,,,,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FFestival%20Internacional%20de%20las%20Tunas%20Corazonistas.jpeg?alt=media&token=0bda1d48-1859-4f6f-b343-58ffd48bac23,11.0008,-74.955
